sampler_mode,runs,abs_chsh_mean,abs_chsh_stddev,chsh_mean,chsh_stddev,qber_mean,qber_stddev
classical_singlet_sampler,10,2.80981,0.03408080104692375,-2.80981,0.03408080104692375,0.0,0.0
qiskit,10,2.8208,0.02159835384673767,2.8208,0.02159835384673767,,
