repeat_id,sampler_mode,session_id,shots,shots_per_basis,chsh,abs_chsh,qber,security_status,key_status,key_subset_size,bell_subset_size,sifted_key_length,correlations,error_message
6,classical_singlet_sampler,b90be798-537d-437f-a691-660732412b8e,10000,,-2.8664,2.8664,0.0,secure,generated,2155,4492,2155,"{""E(C,C)"": {""coefficient"": 1, ""expectation"": -0.7291, ""samples"": 1137}, ""E(C,K0)"": {""coefficient"": 1, ""expectation"": -0.7246, ""samples"": 1133}, ""E(K1,C)"": {""coefficient"": -1, ""expectation"": 0.6844, ""samples"": 1052}, ""E(K1,K0)"": {""coefficient"": 1, ""expectation"": -0.7282, ""samples"": 1170}}",
6,qiskit,,,2500,2.8464,2.8464,,,,,,,"{""E(C,C)"": {""coefficient"": 1, ""counts"": {""00"": 1048, ""01"": 182, ""10"": 180, ""11"": 1090}, ""expectation"": 0.7104, ""shots"": 2500}, ""E(C,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1095, ""01"": 172, ""10"": 183, ""11"": 1050}, ""expectation"": 0.716, ""shots"": 2500}, ""E(K1,C)"": {""coefficient"": -1, ""counts"": {""00"": 186, ""01"": 1065, ""10"": 1074, ""11"": 175}, ""expectation"": -0.7112, ""shots"": 2500}, ""E(K1,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1032, ""01"": 175, ""10"": 189, ""11"": 1104}, ""expectation"": 0.7088, ""shots"": 2500}}",
7,classical_singlet_sampler,8f31a574-56d9-4700-9fab-70506bbedc18,10000,,-2.8106,2.8106,0.0,secure,generated,2273,4480,2273,"{""E(C,C)"": {""coefficient"": 1, ""expectation"": -0.6969, ""samples"": 1069}, ""E(C,K0)"": {""coefficient"": 1, ""expectation"": -0.7021, ""samples"": 1101}, ""E(K1,C)"": {""coefficient"": -1, ""expectation"": 0.7135, ""samples"": 1131}, ""E(K1,K0)"": {""coefficient"": 1, ""expectation"": -0.698, ""samples"": 1179}}",
7,qiskit,,,2500,2.8488,2.8488,,,,,,,"{""E(C,C)"": {""coefficient"": 1, ""counts"": {""00"": 1082, ""01"": 185, ""10"": 181, ""11"": 1052}, ""expectation"": 0.7072, ""shots"": 2500}, ""E(C,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1070, ""01"": 182, ""10"": 178, ""11"": 1070}, ""expectation"": 0.712, ""shots"": 2500}, ""E(K1,C)"": {""coefficient"": -1, ""counts"": {""00"": 192, ""01"": 1066, ""10"": 1069, ""11"": 173}, ""expectation"": -0.708, ""shots"": 2500}, ""E(K1,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1094, ""01"": 163, ""10"": 185, ""11"": 1058}, ""expectation"": 0.7216, ""shots"": 2500}}",
8,classical_singlet_sampler,5938b5f4-e83d-47e7-b013-b9431ebc2f06,10000,,-2.8066,2.8066,0.0,secure,generated,2221,4381,2221,"{""E(C,C)"": {""coefficient"": 1, ""expectation"": -0.7191, ""samples"": 1068}, ""E(C,K0)"": {""coefficient"": 1, ""expectation"": -0.6954, ""samples"": 1149}, ""E(K1,C)"": {""coefficient"": -1, ""expectation"": 0.685, ""samples"": 1092}, ""E(K1,K0)"": {""coefficient"": 1, ""expectation"": -0.7071, ""samples"": 1072}}",
8,qiskit,,,2500,2.8056,2.8056,,,,,,,"{""E(C,C)"": {""coefficient"": 1, ""counts"": {""00"": 1074, ""01"": 183, ""10"": 190, ""11"": 1053}, ""expectation"": 0.7016, ""shots"": 2500}, ""E(C,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1083, ""01"": 184, ""10"": 165, ""11"": 1068}, ""expectation"": 0.7208, ""shots"": 2500}, ""E(K1,C)"": {""coefficient"": -1, ""counts"": {""00"": 199, ""01"": 1018, ""10"": 1077, ""11"": 206}, ""expectation"": -0.676, ""shots"": 2500}, ""E(K1,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1065, ""01"": 184, ""10"": 182, ""11"": 1069}, ""expectation"": 0.7072, ""shots"": 2500}}",
9,classical_singlet_sampler,50267541-008f-4428-b035-47d2dc930b27,10000,,-2.7534,2.7534,0.0,secure,generated,2245,4358,2245,"{""E(C,C)"": {""coefficient"": 1, ""expectation"": -0.7062, ""samples"": 1062}, ""E(C,K0)"": {""coefficient"": 1, ""expectation"": -0.7001, ""samples"": 1127}, ""E(K1,C)"": {""coefficient"": -1, ""expectation"": 0.676, ""samples"": 1105}, ""E(K1,K0)"": {""coefficient"": 1, ""expectation"": -0.6711, ""samples"": 1064}}",
9,qiskit,,,2500,2.8064,2.8064,,,,,,,"{""E(C,C)"": {""coefficient"": 1, ""counts"": {""00"": 1108, ""01"": 181, ""10"": 178, ""11"": 1033}, ""expectation"": 0.7128, ""shots"": 2500}, ""E(C,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1034, ""01"": 196, ""10"": 183, ""11"": 1087}, ""expectation"": 0.6968, ""shots"": 2500}, ""E(K1,C)"": {""coefficient"": -1, ""counts"": {""00"": 174, ""01"": 1045, ""10"": 1076, ""11"": 205}, ""expectation"": -0.6968, ""shots"": 2500}, ""E(K1,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1080, ""01"": 201, ""10"": 174, ""11"": 1045}, ""expectation"": 0.7, ""shots"": 2500}}",
10,classical_singlet_sampler,38f97a8b-2071-44ce-bab2-d8230d413929,10000,,-2.8184,2.8184,0.0,secure,generated,2242,4498,2242,"{""E(C,C)"": {""coefficient"": 1, ""expectation"": -0.6998, ""samples"": 1126}, ""E(C,K0)"": {""coefficient"": 1, ""expectation"": -0.6944, ""samples"": 1093}, ""E(K1,C)"": {""coefficient"": -1, ""expectation"": 0.7099, ""samples"": 1110}, ""E(K1,K0)"": {""coefficient"": 1, ""expectation"": -0.7143, ""samples"": 1169}}",
10,qiskit,,,2500,2.8648,2.8648,,,,,,,"{""E(C,C)"": {""coefficient"": 1, ""counts"": {""00"": 1087, ""01"": 171, ""10"": 192, ""11"": 1050}, ""expectation"": 0.7096, ""shots"": 2500}, ""E(C,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1035, ""01"": 171, ""10"": 175, ""11"": 1119}, ""expectation"": 0.7232, ""shots"": 2500}, ""E(K1,C)"": {""coefficient"": -1, ""counts"": {""00"": 168, ""01"": 1080, ""10"": 1056, ""11"": 196}, ""expectation"": -0.7088, ""shots"": 2500}, ""E(K1,K0)"": {""coefficient"": 1, ""counts"": {""00"": 1074, ""01"": 167, ""10"": 179, ""11"": 1080}, ""expectation"": 0.7232, ""shots"": 2500}}",
